Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,FunPlus Phoenix,Team Heretics,1,2,Team Heretics won
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,DRX,KRÜ Esports,2,1,DRX won
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,FNATIC,Bilibili Gaming,2,0,FNATIC won
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,LEVIATÁN,Talon Esports,2,0,LEVIATÁN won
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,Team Vitality,Trace Esports,1,2,Trace Esports won
Valorant Champions 2024,Group Stage,Opening (D),G2 Esports vs Paper Rex,G2 Esports,Paper Rex,2,0,G2 Esports won
Valorant Champions 2024,Group Stage,Opening (D),EDward Gaming vs FUT Esports,EDward Gaming,FUT Esports,2,0,EDward Gaming won
Valorant Champions 2024,Group Stage,Winner's (B),Gen.G vs Team Heretics,Gen.G,Team Heretics,1,2,Team Heretics won
Valorant Champions 2024,Group Stage,Winner's (A),FNATIC vs DRX,FNATIC,DRX,0,2,DRX won
Valorant Champions 2024,Group Stage,Winner's (C),LEVIATÁN vs Trace Esports,LEVIATÁN,Trace Esports,1,2,Trace Esports won
Valorant Champions 2024,Group Stage,Winner's (D),EDward Gaming vs G2 Esports,EDward Gaming,G2 Esports,1,2,G2 Esports won
Valorant Champions 2024,Group Stage,Elimination (B),Sentinels vs FunPlus Phoenix,Sentinels,FunPlus Phoenix,2,0,Sentinels won
Valorant Champions 2024,Group Stage,Elimination (A),Bilibili Gaming vs KRÜ Esports,Bilibili Gaming,KRÜ Esports,0,2,KRÜ Esports won
Valorant Champions 2024,Group Stage,Elimination (C),Talon Esports vs Team Vitality,Talon Esports,Team Vitality,0,2,Team Vitality won
Valorant Champions 2024,Group Stage,Elimination (D),FUT Esports vs Paper Rex,FUT Esports,Paper Rex,0,2,Paper Rex won
Valorant Champions 2024,Group Stage,Decider (B),Gen.G vs Sentinels,Gen.G,Sentinels,0,2,Sentinels won
Valorant Champions 2024,Group Stage,Decider (A),FNATIC vs KRÜ Esports,FNATIC,KRÜ Esports,2,1,FNATIC won
Valorant Champions 2024,Group Stage,Decider (C),LEVIATÁN vs Team Vitality,LEVIATÁN,Team Vitality,2,0,LEVIATÁN won
Valorant Champions 2024,Group Stage,Decider (D),EDward Gaming vs Paper Rex,EDward Gaming,Paper Rex,2,1,EDward Gaming won
Valorant Champions 2024,Playoffs,Upper Quarterfinals,DRX vs Sentinels,DRX,Sentinels,0,2,Sentinels won
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,0,2,EDward Gaming won
Valorant Champions 2024,Playoffs,Upper Quarterfinals,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,0,2,LEVIATÁN won
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Team Heretics vs FNATIC,Team Heretics,FNATIC,2,0,Team Heretics won
Valorant Champions 2024,Playoffs,Lower Round 1,DRX vs Trace Esports,DRX,Trace Esports,2,0,DRX won
Valorant Champions 2024,Playoffs,Lower Round 1,G2 Esports vs FNATIC,G2 Esports,FNATIC,0,2,FNATIC won
Valorant Champions 2024,Playoffs,Upper Semifinals,Sentinels vs EDward Gaming,Sentinels,EDward Gaming,1,2,EDward Gaming won
Valorant Champions 2024,Playoffs,Upper Semifinals,LEVIATÁN vs Team Heretics,LEVIATÁN,Team Heretics,2,0,LEVIATÁN won
Valorant Champions 2024,Playoffs,Lower Round 2,Sentinels vs FNATIC,Sentinels,FNATIC,2,1,Sentinels won
Valorant Champions 2024,Playoffs,Lower Round 2,Team Heretics vs DRX,Team Heretics,DRX,2,1,Team Heretics won
Valorant Champions 2024,Playoffs,Upper Final,EDward Gaming vs LEVIATÁN,EDward Gaming,LEVIATÁN,2,1,EDward Gaming won
Valorant Champions 2024,Playoffs,Lower Round 3,Team Heretics vs Sentinels,Team Heretics,Sentinels,2,1,Team Heretics won
Valorant Champions 2024,Playoffs,Lower Final,LEVIATÁN vs Team Heretics,LEVIATÁN,Team Heretics,1,3,Team Heretics won
Valorant Champions 2024,Playoffs,Grand Final,EDward Gaming vs Team Heretics,EDward Gaming,Team Heretics,3,2,EDward Gaming won
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,Xi Lai Gaming,2,0,Paper Rex won
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,Sentinels,2,1,GIANTX won
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,NRG,EDward Gaming,2,0,NRG won
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,DRX,0,2,DRX won
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,T1,0,2,T1 won
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,Team Heretics,0,2,Team Heretics won
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,MIBR,0,2,MIBR won
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,FNATIC,0,2,FNATIC won
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,GIANTX,2,1,Paper Rex won
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,NRG,1,2,NRG won
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,T1,2,0,Team Heretics won
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,FNATIC,1,2,FNATIC won
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,EDward Gaming,2,1,Team Liquid won
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,Sentinels,2,1,Xi Lai Gaming won
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,Rex Regum Qeon,1,2,Rex Regum Qeon won
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,Dragon Ranger Gaming,2,0,G2 Esports won
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,Team Liquid,2,0,DRX won
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,Xi Lai Gaming,2,0,GIANTX won
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,G2 Esports,0,2,G2 Esports won
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,Rex Regum Qeon,2,0,MIBR won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,G2 Esports,2,1,Paper Rex won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,DRX,2,1,FNATIC won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,MIBR,0,2,MIBR won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,NRG,GIANTX,2,0,NRG won
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,G2 Esports,2,1,DRX won
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Team Heretics,GIANTX,2,1,Team Heretics won
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,FNATIC,Paper Rex,2,1,FNATIC won
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,MIBR,NRG,1,2,NRG won
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Paper Rex,Team Heretics,2,1,Paper Rex won
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,MIBR,DRX,1,2,DRX won
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,FNATIC,NRG,0,2,NRG won
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,Paper Rex,2,0,DRX won
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,FNATIC,DRX,3,1,FNATIC won
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,NRG,FNATIC,3,2,NRG won
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Cloud9,FURIA,2,0,Cloud9 won
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LEVIATÁN,LOUD,1,2,LOUD won
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Evil Geniuses,2Game Esports,2,1,Evil Geniuses won
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,MIBR,KRÜ Esports,1,2,KRÜ Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,100 Thieves,NRG,2,0,100 Thieves won
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Sentinels,G2 Esports,2,1,Sentinels won
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,2Game Esports,G2 Esports,0,2,G2 Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,FURIA,Sentinels,0,2,Sentinels won
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,100 Thieves,KRÜ Esports,2,0,100 Thieves won
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,NRG,LOUD,2,0,NRG won
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Cloud9,Evil Geniuses,2,0,Cloud9 won
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,MIBR,LEVIATÁN,0,2,LEVIATÁN won
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,2Game Esports,FURIA,2,1,2Game Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,LEVIATÁN,NRG,1,2,NRG won
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Sentinels,Cloud9,2,0,Sentinels won
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,MIBR,100 Thieves,2,0,MIBR won
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,2,1,G2 Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,LOUD,KRÜ Esports,1,2,KRÜ Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Cloud9,2Game Esports,2,0,Cloud9 won
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,MIBR,NRG,0,2,NRG won
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,Sentinels,Evil Geniuses,2,0,Sentinels won
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,LEVIATÁN,KRÜ Esports,2,1,LEVIATÁN won
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,FURIA,G2 Esports,0,2,G2 Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,LOUD,100 Thieves,1,2,100 Thieves won
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,KRÜ Esports,NRG,1,2,NRG won
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,100 Thieves,LEVIATÁN,1,2,LEVIATÁN won
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,FURIA,Evil Geniuses,0,2,Evil Geniuses won
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,2Game Esports,Sentinels,1,2,Sentinels won
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,MIBR,LOUD,2,0,MIBR won
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,1,2,Cloud9 won
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,0,G2 Esports won
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Sentinels,Cloud9,2,1,Sentinels won
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,NRG,G2 Esports,1,2,G2 Esports won
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,LEVIATÁN,KRÜ Esports,2,1,LEVIATÁN won
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,NRG,LEVIATÁN,2,0,NRG won
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Cloud9,100 Thieves,2,0,Cloud9 won
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Sentinels,G2 Esports,0,2,G2 Esports won
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,NRG,Cloud9,2,1,NRG won
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Sentinels,NRG,1,3,NRG won
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,G2 Esports,NRG,3,0,G2 Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Natus Vincere,Apeks,2,1,Natus Vincere won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Team Vitality,GIANTX,0,2,GIANTX won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,FUT Esports,Gentle Mates,2,1,FUT Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Team Liquid,KOI,2,1,Team Liquid won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,2,1,Team Heretics won
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,FNATIC,Karmine Corp,2,1,FNATIC won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Apeks,Karmine Corp,1,2,Karmine Corp won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,GIANTX,BBL Esports,2,1,GIANTX won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,2,0,Team Liquid won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Gentle Mates,Team Heretics,1,2,Team Heretics won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,0,2,Team Vitality won
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,KOI,FNATIC,0,2,FNATIC won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,FUT Esports,GIANTX,2,1,FUT Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Gentle Mates,BBL Esports,0,2,BBL Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Team Liquid,Apeks,2,1,Team Liquid won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,KOI,Karmine Corp,1,2,Karmine Corp won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Natus Vincere,FNATIC,1,2,FNATIC won
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,0,2,Team Heretics won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,FUT Esports,Team Heretics,0,2,Team Heretics won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,KOI,Apeks,2,1,KOI won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Gentle Mates,GIANTX,1,2,GIANTX won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,0,Natus Vincere won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Team Vitality,BBL Esports,1,2,BBL Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Team Liquid,FNATIC,2,0,Team Liquid won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,KOI,Natus Vincere,1,2,Natus Vincere won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,Apeks,FNATIC,0,2,FNATIC won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,GIANTX,Team Heretics,0,2,Team Heretics won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Gentle Mates,Team Vitality,1,2,Team Vitality won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,FUT Esports,BBL Esports,0,2,BBL Esports won
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Team Liquid,Karmine Corp,1,2,Karmine Corp won
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,FNATIC,BBL Esports,1,2,BBL Esports won
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,GIANTX,Natus Vincere,2,1,GIANTX won
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,0,2,BBL Esports won
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Team Liquid,GIANTX,2,1,Team Liquid won
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,FNATIC,Karmine Corp,2,1,FNATIC won
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Natus Vincere,Team Vitality,2,0,Natus Vincere won
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,GIANTX,FNATIC,2,0,GIANTX won
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,0,2,Natus Vincere won
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,BBL Esports,Team Liquid,1,2,Team Liquid won
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,GIANTX,Natus Vincere,2,1,GIANTX won
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,BBL Esports,GIANTX,0,3,GIANTX won
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,Team Liquid,GIANTX,3,0,Team Liquid won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,BOOM Esports,TALON,0,2,TALON won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,1,Nongshim RedForce won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,T1,Paper Rex,0,2,Paper Rex won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,DRX,Gen.G,0,2,Gen.G won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,Global Esports,0,2,Global Esports won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,1,2,DetonatioN FocusMe won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,DRX,Nongshim RedForce,2,1,DRX won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,BOOM Esports,T1,0,2,T1 won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Global Esports,Team Secret,1,2,Team Secret won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Paper Rex vs DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,2,0,Paper Rex won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,TALON,ZETA DIVISION,2,0,TALON won
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,Rex Regum Qeon,Gen.G,2,1,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Gen.G,Global Esports,2,1,Gen.G won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,TALON,DetonatioN FocusMe,1,2,DetonatioN FocusMe won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,0,T1 won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Rex Regum Qeon,Nongshim RedForce,2,1,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,DRX,Team Secret,2,0,DRX won
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,BOOM Esports,Paper Rex,0,2,Paper Rex won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,Gen.G,Team Secret,2,0,Gen.G won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,TALON,T1,2,0,TALON won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,BOOM Esports,DetonatioN FocusMe,0,2,DetonatioN FocusMe won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Rex Regum Qeon vs DRX,Rex Regum Qeon,DRX,0,2,DRX won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,Nongshim RedForce,Global Esports,2,0,Nongshim RedForce won
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Paper Rex,ZETA DIVISION,0,2,ZETA DIVISION won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,Gen.G,Nongshim RedForce,0,2,Nongshim RedForce won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,TALON,Paper Rex,0,2,Paper Rex won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,DRX,Global Esports,2,0,DRX won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,BOOM Esports,ZETA DIVISION,1,2,ZETA DIVISION won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Rex Regum Qeon,Team Secret,2,1,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,T1,DetonatioN FocusMe,2,0,T1 won
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,TALON,Nongshim RedForce,2,0,TALON won
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Rex Regum Qeon,T1,1,2,T1 won
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,DRX,TALON,1,2,TALON won
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Paper Rex,T1,2,0,Paper Rex won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,Nongshim RedForce,DetonatioN FocusMe,2,0,Nongshim RedForce won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Rex Regum Qeon,Gen.G,2,1,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,T1,Nongshim RedForce,2,0,T1 won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,DRX,Rex Regum Qeon,0,2,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,TALON vs Paper Rex,TALON,Paper Rex,0,2,Paper Rex won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,T1,Rex Regum Qeon,1,2,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,TALON,Rex Regum Qeon,2,3,Rex Regum Qeon won
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Paper Rex,Rex Regum Qeon,3,1,Paper Rex won
VCT 2025: China Stage 2,Group Stage,Week 1,EDward Gaming vs Titan Esports Club,EDward Gaming,Titan Esports Club,2,0,EDward Gaming won
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,Bilibili Gaming,TYLOO,2,0,Bilibili Gaming won
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,All Gamers,Xi Lai Gaming,1,2,Xi Lai Gaming won
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,Wolves Esports,FunPlus Phoenix,0,2,FunPlus Phoenix won
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,Nova Esports,2,1,Dragon Ranger Gaming won
VCT 2025: China Stage 2,Group Stage,Week 1,JDG Esports vs Trace Esports,JDG Esports,Trace Esports,1,2,Trace Esports won
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs TYLOO,Trace Esports,TYLOO,0,2,TYLOO won
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,Nova Esports,2,1,FunPlus Phoenix won
VCT 2025: China Stage 2,Group Stage,Week 2,All Gamers vs Wolves Esports,All Gamers,Wolves Esports,2,0,All Gamers won
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,JDG Esports,Bilibili Gaming,1,2,Bilibili Gaming won
VCT 2025: China Stage 2,Group Stage,Week 2,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,2,0,TYLOO won
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,2,1,Trace Esports won
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,All Gamers,2,1,Dragon Ranger Gaming won
